952,CALL,1,,*f.addr,,STATIC_DISPATCH,,,<operator>.indirection,<operator>.indirection,1,ANY (ANY),ap_filter_t*
953,CALL,1,,*f.addr = f.arg,,STATIC_DISPATCH,,,<operator>.assignment,<operator>.assignment,1,ANY (ANY),ap_filter_t*
956,CALL,1,,*bb.addr,,STATIC_DISPATCH,,,<operator>.indirection,<operator>.indirection,1,ANY (ANY),apr_bucket_brigade*
957,CALL,2,,*bb.addr = bb.arg,,STATIC_DISPATCH,,,<operator>.assignment,<operator>.assignment,2,ANY (ANY),apr_bucket_brigade*
959,CALL,1,,*f.addr,18,STATIC_DISPATCH,,1202,<operator>.indirection,<operator>.indirection,1,ANY (ANY),ap_filter_t*
961,CALL,1,,"gep(*f.addr, 0)",18,STATIC_DISPATCH,,1202,<operator>.pointerShift,<operator>.pointerShift,1,ANY (ANY),ap_filter_t
963,CALL,1,,3,18,STATIC_DISPATCH,,1202,<operator>.getElementPtr,<operator>.getElementPtr,1,ANY (ANY),request_rec**
964,CALL,2,,*3,18,STATIC_DISPATCH,,1202,<operator>.indirection,<operator>.indirection,2,ANY (ANY),request_rec*
966,CALL,1,,*r.addr,18,STATIC_DISPATCH,,1202,<operator>.indirection,<operator>.indirection,1,ANY (ANY),request_rec*
967,CALL,3,,*r.addr = *3,18,STATIC_DISPATCH,,1202,<operator>.assignment,<operator>.assignment,3,ANY (ANY),request_rec*
970,CALL,1,,*f.addr,18,STATIC_DISPATCH,,1203,<operator>.indirection,<operator>.indirection,1,ANY (ANY),ap_filter_t*
972,CALL,1,,"gep(*f.addr, 0)",18,STATIC_DISPATCH,,1203,<operator>.pointerShift,<operator>.pointerShift,1,ANY (ANY),ap_filter_t
974,CALL,1,,1,18,STATIC_DISPATCH,,1203,<operator>.getElementPtr,<operator>.getElementPtr,1,ANY (ANY),i8**
975,CALL,2,,*1,18,STATIC_DISPATCH,,1203,<operator>.indirection,<operator>.indirection,2,ANY (ANY),i8*
976,CALL,2,,(deflate_ctx_t*)*1,18,STATIC_DISPATCH,,1203,<operator>.cast,<operator>.cast,2,"ANY (ANY, ANY)",deflate_ctx_t*
978,CALL,1,,*ctx.addr,18,STATIC_DISPATCH,,1203,<operator>.indirection,<operator>.indirection,1,ANY (ANY),deflate_ctx_t*
979,CALL,4,,*ctx.addr = (deflate_ctx_t*)*1,18,STATIC_DISPATCH,,1203,<operator>.assignment,<operator>.assignment,4,ANY (ANY),deflate_ctx_t*
